Metric,Value
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,57
flow__warnings__count:RSZ-0062,1
global_route__vias,26340
global_route__wirelength,302702
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3953
route__net__special,50
route__drc_errors__iter:0,826
route__wirelength__iter:0,219034
route__drc_errors__iter:1,249
route__wirelength__iter:1,217986
route__drc_errors__iter:2,206
route__wirelength__iter:2,217953
route__drc_errors__iter:3,2
route__wirelength__iter:3,218048
route__drc_errors__iter:4,0
route__wirelength__iter:4,218051
route__drc_errors,0
route__wirelength,218051
route__vias,22649
route__vias__singlecut,22649
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1377.51
design__instance__count__class:fill_cell,29042
design__instance__area__class:fill_cell,1.53195E+6
timing__unannotated_net__count__corner:nom_tt_025C_5v00,1860
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,1860
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,1860
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,0
design__max_fanout_violation__count__corner:min_tt_025C_5v00,62
design__max_cap_violation__count__corner:min_tt_025C_5v00,56
clock__skew__worst_hold__corner:min_tt_025C_5v00,-0.32371059526940615
clock__skew__worst_setup__corner:min_tt_025C_5v00,0.30917777546604663
timing__hold__ws__corner:min_tt_025C_5v00,0.6981684317177849
timing__setup__ws__corner:min_tt_025C_5v00,5.488010201617617
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.698168
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,8.782730
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,1860
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,2
design__max_fanout_violation__count__corner:min_ss_125C_4v50,62
design__max_cap_violation__count__corner:min_ss_125C_4v50,56
clock__skew__worst_hold__corner:min_ss_125C_4v50,-0.3754973938068871
clock__skew__worst_setup__corner:min_ss_125C_4v50,0.3522573166197394
timing__hold__ws__corner:min_ss_125C_4v50,1.5038133386416799
timing__setup__ws__corner:min_ss_125C_4v50,-0.20818547475191787
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,-3.503423428304404
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,-0.20818547475191787
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,1.503813
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,39
timing__setup_r2r__ws__corner:min_ss_125C_4v50,-0.208185
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,39
timing__unannotated_net__count__corner:min_ss_125C_4v50,1860
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,62
design__max_cap_violation__count__corner:min_ff_n40C_5v50,56
clock__skew__worst_hold__corner:min_ff_n40C_5v50,-0.29953482209064103
clock__skew__worst_setup__corner:min_ff_n40C_5v50,0.2900656186235033
timing__hold__ws__corner:min_ff_n40C_5v50,0.3392495269617114
timing__setup__ws__corner:min_ff_n40C_5v50,5.584461051654349
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,0.339250
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,12.786084
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net__count__corner:min_ff_n40C_5v50,1860
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,0
design__max_fanout_violation__count__corner:max_tt_025C_5v00,62
design__max_cap_violation__count__corner:max_tt_025C_5v00,59
clock__skew__worst_hold__corner:max_tt_025C_5v00,-0.35103951294958624
clock__skew__worst_setup__corner:max_tt_025C_5v00,0.3317037571835595
timing__hold__ws__corner:max_tt_025C_5v00,0.7120733093606569
timing__setup__ws__corner:max_tt_025C_5v00,5.556133488335275
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.712073
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,8.015908
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,1860
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
design__max_slew_violation__count__corner:max_ss_125C_4v50,34
design__max_fanout_violation__count__corner:max_ss_125C_4v50,62
design__max_cap_violation__count__corner:max_ss_125C_4v50,60
clock__skew__worst_hold__corner:max_ss_125C_4v50,-0.42246471405816616
clock__skew__worst_setup__corner:max_ss_125C_4v50,0.39164847473670783
timing__hold__ws__corner:max_ss_125C_4v50,1.5350945393790012
timing__setup__ws__corner:max_ss_125C_4v50,-1.5337100912281387
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,-133.3751138394966
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,-1.5337100912281387
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,1.535094
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,167
timing__setup_r2r__ws__corner:max_ss_125C_4v50,-1.533710
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,167
timing__unannotated_net__count__corner:max_ss_125C_4v50,1860
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,62
design__max_cap_violation__count__corner:max_ff_n40C_5v50,60
clock__skew__worst_hold__corner:max_ff_n40C_5v50,-0.3181294484556187
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.3054395989252597
timing__hold__ws__corner:max_ff_n40C_5v50,0.3474918229296366
timing__setup__ws__corner:max_ff_n40C_5v50,5.636996806665424
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.347492
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,12.302365
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,1860
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,1860
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.99998
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,5
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.0000181227
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.0000176188
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.00000310377
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.0000176188
design_powergrid__voltage__worst,0.0000176188
design_powergrid__voltage__worst__net:VDD,4.99998
design_powergrid__drop__worst,0.0000181227
design_powergrid__drop__worst__net:VDD,0.0000181227
design_powergrid__voltage__worst__net:VSS,0.0000176188
design_powergrid__drop__worst__net:VSS,0.0000176188
ir__voltage__worst,5
ir__drop__avg,0.0000030999999999999999655982650670349443089435226283967494964599609375
ir__drop__worst,0.0000180999999999999994985781792689039093602332286536693572998046875
design__xor_difference__count,0
klayout__antenna_error__count,0
klayout__density_error__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
